UF;Município;Faixa etária;Gênero;Grau de instrução;Turno;Comparecimento;% comparecimento;Abstenção;Eleitorado apto;Data de carga
AM;ALVARÃES;35 a 39 anos                  ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;1;135;0,8333;27;162;2025-04-30 07:09:09
AM;ALVARÃES;35 a 39 anos                  ;FEMININO;ENSINO MÉDIO COMPLETO;1;93;0,9118;9;102;2025-04-30 07:09:09
AM;ALVARÃES;35 a 39 anos                  ;FEMININO;ENSINO MÉDIO INCOMPLETO;1;28;0,875;4;32;2025-04-30 07:09:09
AM;ALVARÃES;35 a 39 anos                  ;FEMININO;LÊ E ESCREVE;1;91;0,8426;17;108;2025-04-30 07:09:09
AM;ALVARÃES;35 a 39 anos                  ;FEMININO;SUPERIOR COMPLETO;1;17;0,85;3;20;2025-04-30 07:09:09
AM;ALVARÃES;35 a 39 anos                  ;FEMININO;SUPERIOR INCOMPLETO;1;10;1;0;10;2025-04-30 07:09:09
AM;ALVARÃES;35 a 39 anos                  ;MASCULINO;ANALFABETO;1;24;0,5217;22;46;2025-04-30 07:09:09
AM;ALVARÃES;35 a 39 anos                  ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;1;20;0,8696;3;23;2025-04-30 07:09:09
AM;ALVARÃES;35 a 39 anos                  ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;1;162;0,806;39;201;2025-04-30 07:09:09
AM;ALVARÃES;35 a 39 anos                  ;MASCULINO;ENSINO MÉDIO COMPLETO;1;63;0,863;10;73;2025-04-30 07:09:09
AM;ALVARÃES;35 a 39 anos                  ;MASCULINO;ENSINO MÉDIO INCOMPLETO;1;28;0,8235;6;34;2025-04-30 07:09:09
AM;ALVARÃES;35 a 39 anos                  ;MASCULINO;LÊ E ESCREVE;1;104;0,7429;36;140;2025-04-30 07:09:09
AM;ALVARÃES;35 a 39 anos                  ;MASCULINO;SUPERIOR COMPLETO;1;30;0,9375;2;32;2025-04-30 07:09:09
AM;ALVARÃES;35 a 39 anos                  ;MASCULINO;SUPERIOR INCOMPLETO;1;8;0,8889;1;9;2025-04-30 07:09:09
AM;ALVARÃES;40 a 44 anos                  ;FEMININO;ANALFABETO;1;24;0,6154;15;39;2025-04-30 07:09:09
AM;ALVARÃES;40 a 44 anos                  ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;1;9;1;0;9;2025-04-30 07:09:09
AM;ALVARÃES;40 a 44 anos                  ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;1;111;0,8102;26;137;2025-04-30 07:09:09
AM;ALVARÃES;40 a 44 anos                  ;FEMININO;ENSINO MÉDIO COMPLETO;1;67;0,9178;6;73;2025-04-30 07:09:09
AM;ALVARÃES;40 a 44 anos                  ;FEMININO;ENSINO MÉDIO INCOMPLETO;1;19;1;0;19;2025-04-30 07:09:09
AM;ALVARÃES;40 a 44 anos                  ;FEMININO;LÊ E ESCREVE;1;78;0,8211;17;95;2025-04-30 07:09:09
AM;ALVARÃES;40 a 44 anos                  ;FEMININO;SUPERIOR COMPLETO;1;24;0,8889;3;27;2025-04-30 07:09:09
AM;ALVARÃES;40 a 44 anos                  ;FEMININO;SUPERIOR INCOMPLETO;1;2;1;0;2;2025-04-30 07:09:09
AM;ALVARÃES;40 a 44 anos                  ;MASCULINO;ANALFABETO;1;24;0,4528;29;53;2025-04-30 07:09:09
AM;ALVARÃES;40 a 44 anos                  ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;1;14;0,9333;1;15;2025-04-30 07:09:09
AM;ALVARÃES;40 a 44 anos                  ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;1;142;0,8068;34;176;2025-04-30 07:09:09
AM;ALVARÃES;40 a 44 anos                  ;MASCULINO;ENSINO MÉDIO COMPLETO;1;40;0,9091;4;44;2025-04-30 07:09:09
AM;ALVARÃES;40 a 44 anos                  ;MASCULINO;ENSINO MÉDIO INCOMPLETO;1;14;0,8235;3;17;2025-04-30 07:09:09
