UF;Município;Faixa etária;Gênero;Grau de instrução;Comparecimento;% comparecimento;Abstenção;Eleitorado apto;Data de carga
AM;ALVARÃES;25 a 29 anos                  ;FEMININO;LÊ E ESCREVE;23;0,8214;5;28;2025-04-29 22:31:40
AM;ALVARÃES;25 a 29 anos                  ;FEMININO;SUPERIOR COMPLETO;9;0,75;3;12;2025-04-29 22:31:40
AM;ALVARÃES;25 a 29 anos                  ;FEMININO;SUPERIOR INCOMPLETO;37;0,74;13;50;2025-04-29 22:31:40
AM;ALVARÃES;25 a 29 anos                  ;MASCULINO;ANALFABETO;8;0,5333;7;15;2025-04-29 22:31:40
AM;ALVARÃES;25 a 29 anos                  ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;24;0,8571;4;28;2025-04-29 22:31:40
AM;ALVARÃES;25 a 29 anos                  ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;180;0,75;60;240;2025-04-29 22:31:40
AM;ALVARÃES;25 a 29 anos                  ;MASCULINO;ENSINO MÉDIO COMPLETO;185;0,7974;47;232;2025-04-29 22:31:40
AM;ALVARÃES;25 a 29 anos                  ;MASCULINO;ENSINO MÉDIO INCOMPLETO;150;0,7772;43;193;2025-04-29 22:31:40
AM;ALVARÃES;25 a 29 anos                  ;MASCULINO;LÊ E ESCREVE;16;0,6957;7;23;2025-04-29 22:31:40
AM;ALVARÃES;25 a 29 anos                  ;MASCULINO;SUPERIOR COMPLETO;13;0,8667;2;15;2025-04-29 22:31:40
AM;ALVARÃES;25 a 29 anos                  ;MASCULINO;SUPERIOR INCOMPLETO;31;0,7209;12;43;2025-04-29 22:31:40
AM;ALVARÃES;30 a 34 anos                  ;FEMININO;ANALFABETO;9;0,6923;4;13;2025-04-29 22:31:40
AM;ALVARÃES;30 a 34 anos                  ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;20;0,8333;4;24;2025-04-29 22:31:40
AM;ALVARÃES;30 a 34 anos                  ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;149;0,8466;27;176;2025-04-29 22:31:40
AM;ALVARÃES;30 a 34 anos                  ;FEMININO;ENSINO MÉDIO COMPLETO;196;0,8789;27;223;2025-04-29 22:31:40
AM;ALVARÃES;30 a 34 anos                  ;FEMININO;ENSINO MÉDIO INCOMPLETO;82;0,8542;14;96;2025-04-29 22:31:40
AM;ALVARÃES;30 a 34 anos                  ;FEMININO;LÊ E ESCREVE;28;0,9032;3;31;2025-04-29 22:31:40
AM;ALVARÃES;30 a 34 anos                  ;FEMININO;SUPERIOR COMPLETO;43;0,7544;14;57;2025-04-29 22:31:40
AM;ALVARÃES;30 a 34 anos                  ;FEMININO;SUPERIOR INCOMPLETO;31;0,8611;5;36;2025-04-29 22:31:40
AM;ALVARÃES;30 a 34 anos                  ;MASCULINO;ANALFABETO;22;0,6471;12;34;2025-04-29 22:31:40
AM;ALVARÃES;30 a 34 anos                  ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;29;0,7436;10;39;2025-04-29 22:31:40
AM;ALVARÃES;30 a 34 anos                  ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;158;0,794;41;199;2025-04-29 22:31:40
AM;ALVARÃES;30 a 34 anos                  ;MASCULINO;ENSINO MÉDIO COMPLETO;157;0,8135;36;193;2025-04-29 22:31:40
AM;ALVARÃES;30 a 34 anos                  ;MASCULINO;ENSINO MÉDIO INCOMPLETO;91;0,8053;22;113;2025-04-29 22:31:40
AM;ALVARÃES;30 a 34 anos                  ;MASCULINO;LÊ E ESCREVE;33;0,7333;12;45;2025-04-29 22:31:40
AM;ALVARÃES;30 a 34 anos                  ;MASCULINO;SUPERIOR COMPLETO;33;0,7857;9;42;2025-04-29 22:31:40
AM;ALVARÃES;30 a 34 anos                  ;MASCULINO;SUPERIOR INCOMPLETO;27;0,9;3;30;2025-04-29 22:31:40
AM;ALVARÃES;35 a 39 anos                  ;FEMININO;ANALFABETO;21;0,6176;13;34;2025-04-29 22:31:40
AM;ALVARÃES;35 a 39 anos                  ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;18;0,9;2;20;2025-04-29 22:31:40
AM;ALVARÃES;35 a 39 anos                  ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;130;0,8667;20;150;2025-04-29 22:31:40
AM;ALVARÃES;35 a 39 anos                  ;FEMININO;ENSINO MÉDIO COMPLETO;144;0,8675;22;166;2025-04-29 22:31:40
AM;ALVARÃES;35 a 39 anos                  ;FEMININO;ENSINO MÉDIO INCOMPLETO;41;0,9535;2;43;2025-04-29 22:31:40
AM;ALVARÃES;35 a 39 anos                  ;FEMININO;LÊ E ESCREVE;48;0,8136;11;59;2025-04-29 22:31:40
